X,Y,LAST_YEAR,AADT_ALLVE
2529000.447,2331163.758,,
2516384.485,2511001.47,,
2524455.23,2332975.331,,
2283839.75,2426560.077,,
2197139.094,2415479.81,,
2465850.386,2360097.8,,
2412743.599,2362449.713,,
2306376.021,2378243.148,,
2376579.312,2350403.609,2005,4600
2613008.506,2562805.293,2018,7300
2272526.848,2349501.703,,
2441469.199,2372723.985,2014,5600
2487000.623,2425430.701,2013,16000
2219249.054,2468420.756,,
2467339.536,2401574.622,2007,3600
2524588.416,2335045.517,,
2518670.839,2337537.072,,
2300757.251,2669346.957,2016,390
2630696.609,2357562.307,,
2361737.141,2629936.939,,
2508463.657,2428956.685,,
2275131.188,2366503.669,,
2205171.51,2369651.22,,
2525377.1,2332634.555,2012,4600
2439174.197,2361555.967,,
2475671.51,2436359.201,2018,11000
2428681.314,2437278.302,2009,920
2331635.158,2484454.115,2008,40
2534245.24,2401974.099,,
2510065.153,2361142.811,2013,6300
2372149.423,2501317.809,2008,160
2626619.75,2364709.01,2008,2000
2436042.61,2527190.807,,
2341787.488,2339460.484,,
2265999.697,2369246.616,,
2231950.141,2599833.573,2013,150
2512711.642,2351403.548,,
2688398.332,2582219.849,2013,1000
2427917.569,2563048.424,,
2300757.251,2669346.957,2016,340
2558738.87,2351404.574,2012,300
2516384.485,2511001.47,,
2256447.575,2527158.827,2007,310
2489690.316,2421949.539,2008,16000
2492930.462,2411362.1,2008,5500
2543113.586,2379303.773,,
2552492.869,2381333.542,2012,13000
2517520.765,2395912.031,,
2509184.516,2399429.309,2013,8100
2519794.913,2403833.918,,
2443484.362,2376466.425,,
2515721.761,2398901.289,,
2211913.155,2408072.939,,
2481261.575,2411875.232,,
2206675.145,2429478.549,,
2442261.03,2366278.889,,
2443393.42,2376095.114,2014,25000
2476764.906,2403322.382,2013,21000
2526329.031,2405782.621,,
2516232.409,2518628.373,,
2515085.599,2514982.791,,
2522045.942,2529922.35,,
2727412.188,2408333.718,,
2508358.513,2428260.382,,
2206675.145,2429478.549,,
2318598.366,2568286.137,,
